Uni	Char	STB	Attest	GB	Big5	Uni	Z
\u4004	䀄	U	0	no	no	yes	no
\u4009	䀉	U	0	no	no	yes	no
\u4010	䀐	U	0	no	no	yes	no
\u4011	䀑	U	0	no	no	yes	no
\u401D	䀝	U	0	no	no	yes	no
\u401F	䀟	U	0	no	no	yes	no
\u4039	䀹	U	0	no	no	yes	no
\u403A	䀺	U	0	no	no	yes	no
\u403B	䀻	U	0	no	no	yes	no
\u403C	䀼	U	0	no	no	yes	no
\u403D	䀽	U	0	no	no	yes	no
\u4045	䁅	U	0	no	no	yes	no
\u4053	䁓	U	0	no	no	yes	no
\u4056	䁖	S	2	no	no	yes	no
\u4057	䁗	U	0	no	no	yes	no
\u4062	䁢	U	0	no	no	yes	no
\u4065	䁥	U	0	no	no	yes	no
\u406A	䁪	U	0	no	no	yes	no
\u406B	䁫	U	0	no	no	yes	no
\u406F	䁯	U	0	no	no	yes	no
\u4071	䁱	U	0	no	no	yes	no
\u4085	䂅	U	0	no	no	yes	no
\u408B	䂋	U	0	no	no	yes	no
\u408C	䂌	U	0	no	no	yes	no
\u408D	䂍	U	0	no	no	yes	no
\u4091	䂑	U	0	no	no	yes	no
\u4096	䂖	B	1	no	no	no	no
\u40A8	䂨	U	0	no	no	yes	no
\u40B2	䂲	B	1	no	no	no	no
\u40B6	䂶	B	1	no	no	no	no
\u40BB	䂻	U	0	no	no	yes	no
\u40BF	䂿	U	0	no	no	yes	no
\u40C8	䃈	U	0	no	no	yes	no
\u40C9	䃉	B	1	no	no	yes	no
\u40CE	䃎	U	0	no	no	yes	no
\u40D8	䃘	U	0	no	no	yes	no
\u40DF	䃟	U	0	no	no	yes	no
\u40E1	䃡	U	0	no	no	yes	no
\u40E6	䃦	U	0	no	no	yes	no
\u40EC	䃬	U	0	no	no	yes	no
\u40F0	䃰	U	0	no	no	yes	no
\u40F8	䃸	U	0	no	no	yes	no
\u40FA	䃺	U	0	no	no	yes	no
\u4102	䄂	U	0	no	no	yes	no
\u4103	䄃	U	0	no	no	yes	no
\u4104	䄄	U	0	no	no	yes	no
\u4109	䄉	U	0	no	no	yes	no
\u410D	䄍	U	0	no	no	yes	no
\u410E	䄎	U	0	no	no	yes	no
\u410F	䄏	U	0	no	no	yes	no
\u4119	䄙	U	0	no	no	yes	no
\u4132	䄲	U	0	no	no	yes	no
\u413B	䄻	U	0	no	no	yes	no
\u413F	䄿	U	0	no	no	yes	no
\u4140	䅀	U	0	no	no	yes	no
